Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g,Misc/AcceptanceStep,Misc/cost_gradient_norm,Misc/A,Misc/B,Misc/q,Misc/r,Misc/s,Misc/Lambda_star,Misc/Nu_star,Misc/OptimCase
-14.168540954589844,1.0,31.0,0.0,1.4276834726333618,0.0001634992950130254,10.0,1.005101203918457,1.005101203918457,1.005101203918457,0.003607039572671056,0.0,1.0091196298599243,1024.0,-0.0501098707318306,-0.0501098707318306,1.0617077350616455e-07,1.0841220617294312,1.0841220617294312,-0.17585311830043793,0.03686312586069107,0.03686312586069107,-0.07201462984085083,28.49665069580078,4.278899192810059,24.21727752685547,28.496212005615234,35.93460464477539,0.3036808967590332,0.28926882147789,0.3007461726665497,0.21686778962612152,0.9525420665740967,1.0,0.029132770374417305,0.06191559135913849,-270073.1875,0.21686778962612152,-0.018178973346948624,0.0021327449940145016,3.2929301261901855,0.0,3.0
-12.768256187438965,1.0,46.0,1.0,1.4384759664535522,0.00014054594794288278,10.0,0.9995091557502747,0.9995091557502747,0.9995091557502747,0.0003470933297649026,0.0,1.0204339027404785,2048.0,-0.05963148921728134,-0.009521618485450745,5.820766091346741e-09,0.485485315322876,-0.5986367464065552,-1.230625033378601,0.017339438199996948,-0.019523687660694122,-0.02365718223154545,37.917503356933594,2.4914746284484863,6.9076409339904785,9.399155616760254,108.94599151611328,0.2569431662559509,0.32304826378822327,0.27759385108947754,0.3029394745826721,1.2572753429412842,1.0,0.017797283828258514,0.23141542077064514,-399010.90625,0.3029394745826721,-0.010161198675632477,0.0014435595367103815,3.891911268234253,0.0,3.0
-32.845638275146484,0.8333333134651184,100.33333587646484,2.0,1.442973256111145,8.844170952215791e-05,10.0,0.9946146011352539,0.9946146011352539,0.9946146011352539,0.003808023873716593,0.0,1.0255078077316284,3072.0,-0.03496873006224632,0.02466275915503502,-1.30385160446167e-08,62.5329475402832,62.04746222496033,-2.3860414028167725,0.020221255719661713,0.0028818175196647644,0.09850960969924927,49.874637603759766,2.6274359226226807,9.301240921020508,11.928716659545898,85.84329223632812,0.2899457812309265,0.37292641401290894,0.208466574549675,0.23790106177330017,1.2861934900283813,1.0,0.03386421501636505,0.22729085385799408,-163783.421875,0.23790106177330017,0.006150971632450819,0.0035658436827361584,3.448920726776123,0.0,3.0
-36.96417999267578,0.7692307829856873,74.76923370361328,3.0,1.4524768590927124,0.00016431996482424438,10.0,1.000322699546814,1.000322699546814,1.000322699546814,0.00022815493866801262,0.0,1.0355397462844849,4096.0,-0.04593357816338539,-0.010964848101139069,-1.792795956134796e-08,98.78211975097656,36.24917221069336,-3.561847686767578,0.026036743074655533,0.00581548735499382,0.03593826666474342,60.26384353637695,2.4468932151794434,7.919861793518066,10.366800308227539,98.77688598632812,0.28880974650382996,0.3048197329044342,0.2565387189388275,0.23977631330490112,1.0554343461990356,1.0,0.037614308297634125,0.21118807792663574,-116782.375,0.23977631330490112,0.011988703161478043,0.005027547478675842,3.462486982345581,0.0,3.0
-34.86032485961914,0.7894737124443054,68.36842346191406,4.0,1.46107816696167,0.00011359127529431134,10.0,0.9933922290802002,0.9933922290802002,0.9933922290802002,0.0046723997220396996,0.0,1.0443034172058105,5120.0,-0.04832027852535248,-0.002386700361967087,-2.7939677238464355e-09,45.232879638671875,-53.54924011230469,-4.93372106552124,0.017163638025522232,-0.0088731050491333,0.052976373583078384,72.68450927734375,2.7500269412994385,9.642796516418457,12.392864227294922,82.62821197509766,0.23434233665466309,0.34383273124694824,0.27127864956855774,0.36419039964675903,1.46722412109375,1.0,0.0532485730946064,0.35748565196990967,-101352.84375,0.36419039964675903,0.006226974539458752,0.0057832468301057816,4.267261028289795,0.0,3.0
-33.85627365112305,0.800000011920929,66.19999694824219,5.0,1.470086693763733,0.00013682588178198785,10.0,1.0149787664413452,1.0149787664413452,1.0149787664413452,0.010591559112071991,0.0,1.0539605617523193,6144.0,-0.03954175487160683,0.008778523653745651,-1.1641532182693481e-08,1.2779403924942017,-43.95493924617767,-4.250166416168213,0.00727048609405756,-0.009893151931464672,-0.025272101163864136,76.49906158447266,2.4371228218078613,1.3457348346710205,3.782891035079956,270.6925354003906,0.34761127829551697,0.3224790692329407,0.19962909817695618,0.16551685333251953,0.9277002811431885,1.0,0.020237058401107788,0.14758576452732086,-399970.625,0.16551685333251953,-0.005123946350067854,0.0014641974121332169,2.876776695251465,0.0,3.0
-35.00373077392578,0.782608687877655,65.17391204833984,6.0,1.4697881937026978,0.00015349061868619174,10.0,0.999976396560669,0.999976396560669,0.999976396560669,1.6690151824150234e-05,0.0,1.053517460823059,7168.0,-0.04178020730614662,-0.002238452434539795,1.3969838619232178e-08,44.49606704711914,43.21812665462494,-6.839441776275635,0.011144867166876793,0.003874381072819233,0.0672561526298523,80.76004028320312,2.8849246501922607,1.3513062000274658,4.236268997192383,241.72218322753906,0.31326523423194885,0.3032088577747345,0.26753711700439453,0.20380066335201263,0.9678981304168701,1.0,0.024916963651776314,0.1647973209619522,-258062.75,0.20380066335201263,0.009414898231625557,0.002272623358294368,3.192183256149292,0.0,3.0
-35.00373077392578,0.782608687877655,65.17391204833984,7.0,1.4564142227172852,0.00016045653319451958,10.0,1.007693886756897,1.007693886756897,1.007693886756897,0.005440427456051111,0.0,1.0394439697265625,8192.0,-0.047976117581129074,-0.006195910274982452,1.6763806343078613e-08,0.6803189516067505,-43.81574809551239,-6.200945854187012,0.0031113482546061277,-0.008033518912270665,0.0039019552059471607,84.19694519042969,2.4061119556427,1.0119092464447021,3.4180619716644287,299.5850830078125,0.29591643810272217,0.3080032169818878,0.2481708526611328,0.2283976972103119,1.040845274925232,1.0,0.008687207475304604,0.21683883666992188,-2804427.5,0.2283976972103119,-0.001554757822304964,0.00020911720639560372,3.3793323040008545,0.0,3.0
-34.93587112426758,0.7878788113594055,56.09090805053711,8.0,1.4569091796875,0.0001348877849522978,10.0,0.9997472167015076,0.9997472167015076,0.9997472167015076,0.00017875882622320205,0.0,1.040299892425537,9216.0,-0.03831935673952103,0.009656760841608047,-1.1408701539039612e-08,74.86910247802734,74.1887835264206,-6.703010559082031,0.02188156172633171,0.018770213471725583,0.06928674131631851,87.49996185302734,2.445981740951538,0.8353672027587891,3.281395435333252,312.0625,0.3595787286758423,0.3254045844078064,0.23014605045318604,0.15468278527259827,0.9049607515335083,1.0,0.050655920058488846,0.15335237979888916,-132268.984375,0.15468278527259827,0.0024282634258270264,0.004432070534676313,2.781032085418701,0.0,3.0
-34.93587112426758,0.7878788113594055,56.09090805053711,9.0,1.455607295036316,0.0001682303409324959,10.0,1.001260757446289,1.001260757446289,1.001260757446289,0.0008914339123293757,0.0,1.039656400680542,10240.0,-0.04367053881287575,-0.005351182073354721,9.313225746154785e-10,1.974339485168457,-72.89476299285889,-7.927151203155518,0.0038027421105653048,-0.018078819615766406,0.052826281636953354,90.7505111694336,2.348846197128296,0.8842558860778809,3.2331368923187256,316.72039794921875,0.34634825587272644,0.28685447573661804,0.24670512974262238,0.1667262464761734,0.8282255530357361,1.0,0.013634659349918365,0.16582924127578735,-1336689.25,0.1667262464761734,-0.0006272124010138214,0.0004385562497191131,2.8872673511505127,0.0,3.0
